iter	Passed	Remaining
616	174484	673898
617	174755	673572
618	175020	673221
619	175267	672800
620	175543	672492
621	175800	672112
622	176057	671731
623	176322	671382
624	176569	670962
625	176819	670556
626	177085	670213
627	177339	669824
628	177592	669429
629	177837	669006
630	178133	668776
631	178400	668437
632	178659	668068
633	178940	667782
634	179208	667444
635	179452	667021
636	179715	666667
637	179990	666358
638	180270	666069
639	180558	665807
640	180812	665422
641	181065	665034
642	181316	664638
643	181566	664240
644	181825	663874
645	182085	663512
646	182370	663242
647	182621	662848
648	182874	662462
649	183165	662214
650	183426	661855
651	183695	661529
652	183951	661153
653	184208	660783
654	184458	660388
655	184703	659975
656	184990	659713
657	185232	659292
658	185499	658960
659	185745	658551
660	186057	658378
661	186299	657959
662	186558	657599
663	186802	657186
664	187062	656828
665	187307	656419
666	187567	656064
667	187824	655699
668	188088	655357
669	188346	654996
670	188618	654684
671	188851	654236
672	189141	653985
673	189404	653641
674	189662	653282
675	189922	652928
676	190189	652600
677	190448	652244
678	190745	652016
679	191025	651734
680	191287	651388
681	191533	650989
682	191803	650670
683	192066	650330
684	192336	650012
685	192608	649701
686	192941	649596
687	193255	649429
688	193594	649343
689	193864	649024
690	194139	648724
691	194435	648494
692	194712	648199
693	194998	647934
694	195311	647758
695	195581	647442
696	195901	647290
697	196211	647104
698	196551	647017
699	196904	646972
700	197202	646746
701	197517	646574
702	197804	646310
703	198134	646189
704	198467	646076
705	198799	645956
706	199103	645748
707	199392	645491
708	199715	645343
709	200035	645185
710	200331	644950
711	200618	644684
712	200920	644468
713	201215	644228
714	201524	644032
715	201807	643753
716	202133	643614
717	202396	643270
718	202675	642981
719	202929	642610
720	203204	642305
721	203468	641968
722	203773	641759
723	204098	641613
724	204398	641388
725	204694	641151
726	204982	640888
727	205264	640605
728	205568	640391
729	205887	640226
730	206233	640143
731	206543	639947
732	206845	639725
733	207174	639588
734	207473	639356
735	207789	639178
736	208087	638943
737	208388	638719
738	208694	638507
739	209026	638377
740	209371	638287
741	209689	638111
742	209988	637877
743	210311	637717
744	210628	637541
745	210937	637337
746	211242	637119
747	211558	636936
748	211869	636740
749	212192	636578
750	212545	636505
751	212810	636169
752	213110	635934
753	213449	635819
754	213764	635630
755	214076	635434
756	214386	635231
757	214663	634928
758	214979	634740
759	215297	634561
760	215570	634246
761	215897	634093
762	216172	633786
763	216480	633573
764	216745	633236
765	217099	633159
766	217416	632975
767	217708	632714
768	218009	632483
769	218321	632282
770	218641	632102
771	218933	631845
772	219230	631599
773	219558	631444
774	219868	631235
775	220210	631119
776	220507	630871
777	220836	630717
778	221158	630541
779	221468	630333
780	221819	630238
781	222113	629983
782	222434	629806
783	222701	629472
784	222970	629144
785	223249	628848
786	223513	628508
787	223765	628132
788	224043	627834
789	224306	627489
790	224575	627164
791	224829	626796
792	225111	626506
793	225396	626226
794	225672	625921
795	225952	625627
796	226203	625253
797	226505	625018
798	226788	624731
799	227045	624374
800	227312	624046
801	227583	623725
802	227838	623363
803	228116	623063
804	228387	622745
805	228655	622418
806	228912	622062
807	229192	621771
808	229475	621483
809	229754	621187
810	230057	620957
811	230330	620643
812	230598	620318
813	230868	619997
814	231126	619646
815	231409	619361
816	231664	619000
817	231928	618666
818	232203	618358
819	232461	618006
820	232720	617657
821	233002	617371
822	233265	617033
823	233529	616699
824	233796	616373
825	234067	616056
826	234328	615713
827	234596	615390
828	234888	615130
829	235177	614861
830	235473	614611
831	235726	614249
832	235999	613939
833	236267	613616
834	236523	613262
835	236799	612958
836	237074	612654
837	237355	612366
838	237634	612071
839	237910	611769
840	238169	611424
841	238428	611078
842	238705	610780
843	238981	610478
844	239229	610106
845	239506	609806
846	239774	609484
847	240032	609140
848	240296	608808
849	240555	608463
850	240805	608098
851	241066	607760
852	241332	607433
853	241605	607126
854	241868	606791
855	242126	606447
856	242381	606095
857	242648	605773
858	242929	605484
859	243263	605329
860	243564	605092
861	243888	604912
862	244214	604734
863	244526	604523
864	244831	604294
865	245187	604192
866	245538	604075
867	245829	603811
868	246136	603587
869	246481	603453
870	246747	603129
871	247071	602944
872	247405	602786
873	247715	602565
874	248037	602376
875	248344	602149
876	248649	601919
877	248954	601688
878	249237	601402
879	249534	601150
880	249835	600908
881	250142	600682
882	250443	600440
883	250732	600169
884	251052	599971
885	251365	599760
886	251672	599531
887	251995	599341
888	252281	599062
889	252577	598807
890	252882	598573
891	253231	598443
892	253543	598226
893	253845	597984
894	254157	597766
895	254433	597463
896	254725	597199
897	255026	596956
898	255358	596783
899	255716	596672
900	256021	596436
901	256352	596260
902	256661	596034
903	257013	595906
904	257299	595627
905	257626	595442
906	257943	595232
907	258251	595002
908	258558	594769
909	258852	594506
910	259169	594296
911	259499	594117
912	259770	593802
913	260091	593600
914	260383	593333
915	260690	593100
916	261007	592887
917	261362	592763
918	261702	592604
919	262019	592392
920	262355	592222
921	262671	592006
922	262958	591726
923	263253	591465
924	263549	591205
925	263851	590959
926	264170	590749
927	264447	590447
928	264757	590218
929	265040	589927
930	265331	589656
931	265631	589404
932	265902	589089
933	266223	588884
934	266530	588648
935	266819	588371
936	267126	588135
937	267419	587866
938	267709	587592
939	268065	587462
940	268377	587235
941	268677	586984
942	269017	586818
943	269335	586602
944	269689	586468
945	270014	586267
946	270311	586008
947	270601	585733
948	270906	585489
949	271236	585300
950	271520	585011
951	271825	584767
952	272121	584504
953	272466	584347
954	272797	584157
955	273144	584002
956	273440	583739
957	273745	583494
958	274023	583193
959	274357	583009
960	274672	582785
961	275026	582645
962	275319	582374
963	275628	582136
964	275937	581899
965	276233	581633
966	276544	581401
967	276844	581144
968	277201	581006
969	277578	580912
970	277927	580757
971	278280	580609
972	278567	580324
973	278893	580121
974	279207	579892
975	279560	579744
976	279879	579524
977	280188	579285
978	280501	579054
979	280806	578804
980	281110	578555
981	281461	578400
982	281801	578222
983	282115	577992
984	282489	577883
985	282832	577712
986	283146	577481
987	283465	577259
988	283788	577047
989	284107	576824
990	284430	576611
991	284733	576355
992	285046	576120
993	285349	575866
994	285655	575617
995	286000	575447
996	286309	575203
997	286600	574924
998	286871	574605
999	287162	574324
1000	287467	574073
1001	287738	573754
1002	288059	573533
1003	288375	573304
1004	288697	573085
1005	289005	572839
1006	289298	572564
1007	289624	572353
1008	289926	572095
1009	290208	571796
1010	290531	571578
1011	290833	571321
1012	291132	571057
1013	291454	570836
1014	291756	570578
1015	292055	570313
1016	292421	570178
1017	292748	569968
1018	293092	569790
1019	293413	569567
1020	293735	569346
1021	294068	569145
1022	294391	568926
1023	294706	568690
1024	294991	568398
1025	295296	568143
1026	295612	567909
1027	295890	567602
1028	296188	567334
1029	296454	567005
1030	296753	566737
1031	297085	566535
1032	297409	566315
1033	297673	565982
1034	297923	565622
1035	298178	565273
1036	298431	564918
1037	298698	564592
1038	298947	564231
1039	299187	563852
1040	299450	563519
1041	299706	563172
1042	299983	562864
1043	300251	562539
1044	300505	562189
1045	300764	561848
1046	301019	561500
1047	301296	561192
1048	301560	560862
1049	301851	560580
1050	302103	560228
1051	302349	559864
1052	302609	559526
1053	302863	559175
1054	303124	558840
1055	303377	558490
1056	303627	558134
1057	303890	557801
1058	304166	557494
1059	304458	557216
1060	304747	556932
1061	305034	556644
1062	305283	556287
1063	305549	555961
1064	305830	555663
1065	306074	555298
1066	306314	554926
1067	306587	554613
1068	306835	554255
1069	307097	553923
1070	307355	553585
1071	307624	553264
1072	307881	552924
1073	308142	552590
1074	308401	552253
1075	308663	551922
1076	308936	551611
1077	309207	551295
1078	309505	551029
1079	309779	550719
1080	310060	550421
1081	310377	550189
1082	310700	549965
1083	311029	549753
1084	311327	549485
1085	311616	549203
1086	311925	548953
1087	312227	548694
1088	312522	548421
1089	312804	548125
1090	313130	547905
1091	313407	547601
1092	313745	547404
1093	314065	547174
1094	314369	546917
1095	314680	546670
1096	314997	546435
1097	315301	546178
1098	315641	545981
1099	315936	545707
1100	316271	545504
1101	316571	545239
1102	316863	544959
1103	317232	544811
1104	317587	544640
1105	317894	544387
1106	318194	544122
1107	318540	543933
1108	318825	543642
1109	319147	543413
1110	319462	543173
1111	319778	542933
1112	320129	542753
1113	320462	542542
1114	320765	542280
1115	321113	542094
1116	321378	541769
1117	321707	541550
1118	321969	541219
1119	322250	540920
1120	322505	540577
1121	322767	540247
1122	323046	539944
1123	323299	539600
1124	323550	539250
1125	323846	538977
1126	324201	538801
1127	324509	538547
1128	324802	538268
1129	325110	538014
1130	325369	537679
1131	325649	537378
1132	325954	537120
1133	326257	536857
1134	326582	536631
1135	326877	536355
1136	327182	536096
1137	327506	535867
1138	327829	535636
